# Radius 	finiterdf__met_met	rdf__met_met	finiterdf__met_wat	rdf__met_wat	finiterdf__wat_wat	rdf__wat_wat	
3.95827 0.778939	0.778174	0.818985	0.817021	0.922984	0.928368	
3.96843 0.792712	0.79192	0.825961	0.823968	0.932356	0.93779	
3.97859 0.802613	0.801798	0.836331	0.834301	0.943011	0.948502	
3.98876 0.804737	0.803906	0.839461	0.837412	0.942625	0.94811	
3.99892 0.819591	0.818732	0.861823	0.859708	0.958788	0.964364	
4.00908 0.827288	0.826408	0.868121	0.865981	0.963855	0.969458	
4.01924 0.838432	0.837528	0.868304	0.866153	0.953057	0.958594	
4.02941 0.846888	0.845964	0.886798	0.884592	0.956391	0.961944	
4.03957 0.858239	0.857291	0.889889	0.887667	0.973609	0.97926	
4.04973 0.874399	0.873424	0.898127	0.895876	0.969999	0.975627	
4.05989 0.887933	0.886933	0.904448	0.902173	0.970203	0.97583	
4.07006 0.893597	0.892582	0.910497	0.9082	0.982641	0.988339	
4.08022 0.895013	0.893988	0.917815	0.915493	0.990762	0.996507	
4.09038 0.907322	0.906275	0.924196	0.921851	0.987623	0.993349	
4.10054 0.911889	0.910829	0.935775	0.933395	1.00237	1.00819	
4.11071 0.923936	0.922855	0.937545	0.935154	0.998656	1.00445	
4.12087 0.941599	0.940493	0.94286	0.940451	1.00845	1.0143	
4.13103 0.953185	0.952061	0.955521	0.953075	1.0134	1.01928	
4.14119 0.96697	0.965827	0.967022	0.964544	1.02245	1.02838	
4.15136 0.964728	0.963584	0.971201	0.968709	1.02805	1.03402	
4.16152 0.976651	0.975491	0.974967	0.972463	1.02702	1.03299	
4.17168 0.991148	0.989969	0.979232	0.976715	1.03628	1.04231	
4.18184 0.993243	0.992062	1.0035	1.00092	1.04394	1.05002	
4.192 1.0058	1.00461	1.00059	0.998017	1.03296	1.03897	
4.20217 1.01469	1.01349	0.994525	0.991968	1.04519	1.05128	
4.21233 1.02882	1.0276	1.0063	1.00371	1.03955	1.04561	
4.22249 1.03395	1.03273	1.01823	1.01561	1.046	1.0521	
4.23265 1.04224	1.04101	1.02228	1.01966	1.06061	1.06681	
4.24282 1.05008	1.04885	1.03281	1.03016	1.05788	1.06407	
4.25298 1.05526	1.05403	1.03725	1.0346	1.06921	1.07548	
4.26314 1.07843	1.07718	1.03461	1.03196	1.07276	1.07906	
4.2733 1.07578	1.07454	1.05405	1.05136	1.08911	1.09551	
4.28347 1.08291	1.08167	1.05302	1.05034	1.08489	1.09127	
4.29363 1.10348	1.10223	1.06275	1.06005	1.08227	1.08865	
4.30379 1.10945	1.10821	1.06479	1.06209	1.08215	1.08854	
4.31395 1.11453	1.11329	1.0643	1.06161	1.09004	1.09648	
4.32412 1.13377	1.13252	1.08328	1.08055	1.09698	1.10348	
4.33428 1.13055	1.12932	1.08818	1.08545	1.10087	1.1074	
4.34444 1.1415	1.14028	1.09588	1.09314	1.10506	1.11163	
4.3546 1.14744	1.14623	1.09495	1.09222	1.10806	1.11467	
4.36477 1.14688	1.14569	1.10311	1.10037	1.111	1.11763	
4.37493 1.15667	1.15549	1.10374	1.10102	1.10898	1.11562	
4.38509 1.16363	1.16246	1.11234	1.1096	1.11236	1.11903	
4.39525 1.18394	1.18277	1.11912	1.11638	1.116	1.1227	
4.40542 1.17545	1.17431	1.1237	1.12096	1.12431	1.13109	
4.41558 1.19187	1.19074	1.12865	1.12592	1.12763	1.13444	
4.42574 1.19275	1.19164	1.13203	1.1293	1.13111	1.13796	
4.4359 1.20453	1.20344	1.13241	1.1297	1.12784	1.13468	
4.44607 1.20728	1.20621	1.13627	1.13356	1.12883	1.1357	
4.45623 1.21562	1.21457	1.14986	1.14714	1.13265	1.13955	
4.46639 1.2171	1.21608	1.15018	1.14748	1.13257	1.13949	
4.47655 1.22898	1.22798	1.15334	1.15065	1.14311	1.15012	
4.48672 1.23226	1.23129	1.15477	1.1521	1.13501	1.14199	
4.49688 1.24467	1.24373	1.15926	1.15659	1.14169	1.14872	
4.50704 1.23734	1.23643	1.17221	1.16954	1.15313	1.16025	
4.5172 1.25321	1.25233	1.16512	1.16248	1.13873	1.14578	
4.52737 1.25415	1.2533	1.16432	1.16171	1.15432	1.16149	
4.53753 1.25923	1.25842	1.17612	1.1735	1.1502	1.15736	
4.54769 1.26382	1.26304	1.17774	1.17515	1.13839	1.1455	
4.55785 1.27346	1.27271	1.18096	1.17838	1.14787	1.15506	
4.56801 1.27995	1.27924	1.18381	1.18125	1.15169	1.15893	
4.57818 1.27884	1.27817	1.18404	1.1815	1.1474	1.15463	
4.58834 1.27327	1.27264	1.19281	1.19028	1.14908	1.15634	
4.5985 1.27843	1.27784	1.19218	1.18968	1.15225	1.15956	
4.60866 1.27968	1.27914	1.18393	1.18147	1.15676	1.16411	
4.61883 1.29526	1.29475	1.18991	1.18747	1.15856	1.16595	
4.62899 1.29338	1.29291	1.18814	1.18572	1.16584	1.1733	
4.63915 1.29209	1.29167	1.1919	1.1895	1.15479	1.1622	
4.64931 1.30492	1.30454	1.19601	1.19363	1.15272	1.16014	
4.65948 1.29493	1.2946	1.19798	1.19562	1.16195	1.16945	
4.66964 1.29705	1.29676	1.19769	1.19537	1.15859	1.16609	
